"حساب اونكس","اســـــم الحساب",المدينة,العنوان,الموقع,المندوب
4020423,"البوانى اورباكون مشروع القدية",الرياض,المزاحمية,https://maps.app.goo.gl/CeoCYHx7fGgiX7WD7,"محمد حفني"
4020417,"مؤسسة عبدالله فايز السويد التجارية",الرياض,"العريض, الرياض 13345",https://maps.app.goo.gl/8TAcyn2T3amw4chY9,"محمد حفني"
4020409,"شركة دروب المعمار الحديث للمقاولات",الرياض,"مطار الملك خالد الدولي، الرياض",https://maps.app.goo.gl/XpeCw4v4Q8MpfoXd9,"محمد حفني"
4020419,"شركة اوزود المحدودة طويق",الرياض,"HHM4+QWX, الطويق, الرياض 14922",https://maps.app.goo.gl/y29xB3CF78dz3cPd9,"محمد حفني"
4020414,"مؤسسة قوى الامتياز لمواد البناء - بالجرش",الرياض,"VV86+97G, الشرق, الرياض 00000",https://maps.app.goo.gl/tjTeeyAJ3p7vvguYA,"محمد حفني"
4020429,"شركة الاعمال المدنية المحدودة",الرياض,"6502 طريق ابو حدرية, Safwa 32473",https://maps.app.goo.gl/askFUran3NhuK4N37?g_st=iw,"محمد حفني"
4020407,"مؤسسة قوى الامتياز لمواد البناء مخرج 15",الرياض,"قريبا من مايسترو بيتزا, السهيم, الفيحاء، طريق الأمير سعد بن عبدالرحمن الأول, الرياض",https://maps.app.goo.gl/Eykmn6qsmJM2UVgE9,"محمد حفني"
4020370,"شركة عبدالغفار عبدالرحيم الكوهجي و شركاه- 1",,,,عبدالرحيم
4020374,"مؤسسة محمد سعيد مشيط للمقاولات",الرياض,"الفرسان، الشرق، الرياض 13636",https://maps.app.goo.gl/utuFdHP2FzMzNpA6A,عبدالرحيم
4020341,"شركة هادي ناصر القحطاني للتجارة والمقاولات",الرياض,,,عبدالرحيم
4020394,"شركة خميس الشارقة للمقاولات",الرياض,,,عبدالرحيم
4020410,"عبد الله عبد العزيز المبرد ومحمد الجاسر",الرياض,"الفاروق, الرياض",https://maps.app.goo.gl/6PR41YsMkt9gDSKV8,عبدالرحيم
4020420,"مؤسسة نواف حزام عبدالله الشكره لمواد البناء",الرياض,,,عبدالرحيم
4020431," شركة القوافل لمواد البناء",الرياض,"RAJA8027، 8027 عثمان بن عفان، 4460، حي النرجس، الرياض 13336",https://maps.app.goo.gl/kmHaaoq4rFrsZbm97,عبدالرحيم
4020432,"مؤسسة صالح عبد العزيز البديوي",الرياض,,,عبدالرحيم
4020436,"محل سعدون ثامر جهز العتيبي لمواد البناء",الرياض,,,عبدالرحيم
4020437,"مؤسسة مبسط مبانى المدن للمقاولات العامة",الرياض,,,عبدالرحيم
